Cloudbuddy mood data
"Mood was coded with five possible levels (very sad; sad; neutral; happy; very happy)"

mood,Age,Cloudbuddy
happy,1-days,cbID-001
happy,12,cbIDnum-001
Neutral,24,cbID-001
neutral,33,cbID-001
V sad,46,cbID-001
very happy,55,cbID-001
Neutral,68,cbID-001
Neutral,79,cbID-001
happy,89,cbID-001
Happy,1,cbID-002
V sad,11,cloudbuddyID-002
very happy,17,cbID-002
neutral,25-days,cbID-002
very happy,34,cbID-002
Neutral,42,cbID-002
Very Happy,49,cbID-002
very happy,58,cbID-002
Happy,67,cloudbuddyID-002
neutral,73,cbID-002
medium,82,cbID-002
happy,89,cbID-002
neutral,1,cbID-003
Happy,15-days,cbID-003
neutral,32,cbID-003
Happy,47,cbID-003
Happy,60,cbID-003
neutral,74,cbID-003
sad,91,clbud-Id-003
neutral,1,cbID-004
very sad,10,cbID-004
neutral,20,cbID-004
neutral,27,cloudbuddyID-004
happy,37,cbID-004
Sad,45,cbID-004
happy,55,cbID-004
Neutral,63,cbID-004
very sad,70,cbID-004
Neutral,81,cbID-004
neutral,91,cbIDnumber-004
very very happy,1,cbID-005
oh so sad,7,cbID-005
neutral,10,cbIDnumber-005
Very sad,18,cbID-005
Neutral,23,cbID-005
very very happy,33,cbID-005
Sad,37,cbID-005
neutral,43,cbID-005
neutral,49,cloudbuddyID-005
neutral,55,cbID-005
Neutral,59,cbID-005
very sad,66,cbID-005
neutral,72,clbud-Id-005
Happy,78,cbID-005
Neutral,84,cbID-005
v happy,91,cloudbuddyID-005
Neutral,1,cbIDnumber-006
neutral,10,cbID-006
V sad,20-days,cbID-006
happy,28,cbIDnum-006
Neutral,38,cbID-006
Neutral,47,cbID-006
v happy,55,cbIDnum-006
Neutral,63,cbID-006
Neutral,72,cbID-006
Neutral,81,cbID-006
Sad,91,cloudbuddyID-006
oh so sad,1,cbID-007
medium,20-days,cbID-007
Very super happy,36,cbID-007
Happy,54,cbID-007
happy,74,cbID-007
neutral,91,cbID-007
Sad,1-days,cbID-008
Happy,9-days,cbID-008
neutral,18,cbID-008
neutral,24-days,cbID-008
very happy,34,cbID-008
neutral,40-days,cbID-008
Neutral,48,cbID-008
neutral,58,clbud-Id-008
Very Happy,65,cbID-008
v happy,74,cbID-008
Happy,81-days,cbID-008
neutral,91-days,cbID-008
oh so sad,1,cbID-009
sad,12,cbID-009
very happy,23,cbID-009
Very Happy,34,cbIDnum-009
Very sad,44,cbID-009
very sad,56,cbIDnum-009
sad,68,cbID-009
Very Happy,80,cbID-009
Happy,90,cbID-009
neutral,1,cbID-010
happy,7,cbID-010
happy,13,cbID-010
Sad,20,cbID-010
Very Happy,26,cbID-010
happy,30,cbID-010
sad,40,cloudbuddyID-010
Sad,46,cbID-010
Neutral,50,cbID-010
Neutral,58,cbID-010
Very Happy,63,cbID-010
Very Happy,72,cbID-010
V sad,76,clbud-Id-010
Neutral,84,cbID-010
very happy,91,cbID-010
medium,1,cbID-011
happy,13-days,cbID-011
very sad,22,cbID-011
neutral,31,cbID-011
medium,41,cbID-011
happy,50,cbID-011
neutral,63,cbID-011
very happy,71,cbID-011
neutral,77,cbID-011
neutral,90,cbID-011
Neutral,1,cbID-011b
Sad,12,cbID-011b
Neutral,26,cbID-011b
sad,39,cloudbuddyID-011b
neutral,50,cbID-011b
Very Happy,64,cbID-011b
v happy,77,cbID-011b
neutral,88,cbID-011b
Very Happy,1,cbID-011c
neutral,15,cbID-011c
Happy,26,cbID-011c
Happy,39,cbID-011c
Happy,53,cbID-011c
Neutral,64-days,cbID-011c
happy,75,cbID-011c
neutral,91,cbID-011c
