Cloudbuddy;Observer;Age_in_days;Volume;Weight;Phase (color)
cbID-001;raID-01;1;0,045546674;0,039160375;1-lightgray
cbID-001;raID-01;12;5,145421213;20,91750126;2-darkgray
cbID-001;raID-01;24;8,971457971;41,67325787;2-darkgray
cbID-001;raID-01;33;7,813613922;34,63497759;3-darkorange
cbID-001;raID-01;46;-99;17,19846758;3-darkorange
cbID-001;raID-01;55;5,00105323;21,693045;4-orange
cbID-001;raID-01;68;4,83792345;-99;5-orangered
cbID-001;raID-01;79;2,457739713;12,79066473;5-orangered
cbID-001;raID-01;89;0,07807775;0,221024853;6-red
cbID-002;raID-01;1;0,097803253;0,016635376;1-lightgray
cbID-002;raID-01;11;4,09317553;11,04094521;1-lightgray
cbID-002;raID-01;17;7,436443424;34,16919327;2-darkgray
cbID-002;raID-01;25;9,924894675;51,37258628;2-darkgray
cbID-002;raID-01;34;8,657913701;41,03318391;3-darkorange
cbID-002;raID-01;42;5,657487219;20,84824077;3-darkorange
cbID-002;raID-01;49;4,18154379;18,67782166;4-orange
cbID-002;raID-01;58;2,714727912;14,05165492;4-orange
cbID-002;raID-01;67;3,394889157;21,91815316;5-orangered
cbID-002;raID-01;73;2,922487489;17,73141342;5-orangered
cbID-002;raID-01;82;0,845143863;0,491300988;6-red
cbID-002;raID-01;89;0,097803253;0,379610382;6-red
cbID-003;raID-01;1;0,083960068;0,040932953;1-lightgray
cbID-003;raID-01;15;5,878707683;20,36027345;1-lightgray
cbID-003;raID-01;32;8,721697745;43,66433378;2-darkgray
cbID-003;raID-01;47;3,989723335;22,57374063;4-orange
cbID-003;raID-01;60;3,686914327;15,60142169;4-orange
cbID-003;raID-01;74;2,923585206;18,7899393;5-orangered
cbID-003;raID-01;91;0,083960068;0,266897244;6-red
cbID-004;raID-01;1;0,083184098;0,054226243;1-lightgray
cbID-004;raID-01;10;3,893913487;10,08254615;1-lightgray
cbID-004;raID-01;20;8,068356816;35,95140168;2-darkgray
cbID-004;raID-01;27;8,012685976;35,73504453;2-darkgray
cbID-004;raID-01;37;4,994907246;14,40140097;3-darkorange
cbID-004;raID-01;45;2,930838961;6,130965624;3-darkorange
cbID-004;raID-01;55;2,492496541;7,844226937;4-orange
cbID-004;raID-01;63;2,952928751;20,21018478;5-orangered
cbID-004;raID-01;70;3,181112069;19,80724249;5-orangered
cbID-004;raID-01;81;0,662426621;14,39353671;5-orangered
cbID-004;raID-01;91;0,102539613;0,703259822;6-red
cbID-005;raID-01;1;0,099121815;0,109294558;1-lightgray
cbID-005;raID-01;7;2,05175126;3,389283474;1-lightgray
cbID-005;raID-01;10;3,355838363;7,891056629;1-lightgray
cbID-005;raID-01;18;7,296497156;32,35678887;2-darkgray
cbID-005;raID-01;23;7,498273402;31,96658889;2-darkgray
cbID-005;raID-01;33;5,933840398;20,98426455;3-darkorange
cbID-005;raID-01;37;4,621094602;13,6357185;3-darkorange
cbID-005;raID-01;43;2,821773277;4,51240763;3-darkorange
cbID-005;raID-01;49;1,532007021;12,97550709;4-orange
cbID-005;raID-01;55;1,926533419;10,06351022;4-orange
cbID-005;raID-01;59;2,744935933;11,61133131;4-orange
cbID-005;raID-01;66;4,091086871;22,54162885;5-orangered
cbID-005;raID-01;72;3,013635003;15,47051194;5-orangered
cbID-005;raID-01;78;1,911015037;12,95388442;5-orangered
cbID-005;raID-01;84;0,564874774;0,760150814;6-red
cbID-005;raID-01;91;0,099121815;0,947661121;6-red
cbID-006;raID-01;1;0,090934358;0,011505192;1-lightgray
cbID-006;raID-01;10;3,714174178;9,252571794;1-lightgray
cbID-006;raID-01;20;9,013999439;42,74170986;2-darkgray
cbID-006;raID-01;28;8,941432308;42,99207342;2-darkgray
cbID-006;raID-01;38;4,86464664;14,64714003;3-darkorange
